,,Industry and Commercial,,,,,,,,,,Domestic,,,,,,,,,,Transport,,,,,,,,,,Grand total,,,,,,,,,,"Population  ('000s, mid-year estimate)",,,,,,,,,,Per Capita Emissions (t),,,,,,,,,,,,,,,,
Code,Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,"1,545.7","1,679.7","1,580.4","1,603.9","1,402.0","1,554.7","1,317.1","1,460.9","1,343.7",964.1,20.3,20.4,20.5,21.4,19.6,21.1,18.8,20.5,19.9,16.5,65.3,65.1,64.4,58.3,54.6,54.5,52.6,51.3,50.5,54.9,"1,631.3","1,765.2","1,665.3","1,683.6","1,476.3","1,630.3","1,388.6","1,532.8","1,414.0","1,035.5",7.1,7.3,7.6,7.4,7.5,7.3,7.4,7.6,7.6,8.1,228.8,243.3,218.9,226.6,197.6,222.2,187.3,201.6,184.9,128.3,,,,,,,
E09000002,Barking and Dagenham,345.8,348.1,346.8,345.3,299.7,325.8,289.9,308.2,282.8,201.0,345.9,344.6,334.4,332.5,297.2,321.4,282.2,300.8,290.8,242.9,178.1,182.8,179.4,161.1,165.5,160.0,160.4,153.7,155.3,160.6,869.8,875.5,860.6,839.0,762.4,807.2,732.4,762.7,728.9,604.5,166.3,167.2,169.0,172.5,177.6,182.8,187.0,190.6,194.4,198.3,5.2,5.2,5.1,4.9,4.3,4.4,3.9,4.0,3.8,3.0,,,,,,,
E09000003,Barnet,460.5,472.0,442.3,453.1,403.1,426.4,382.9,402.6,384.3,371.9,868.1,870.7,847.9,856.7,775.0,837.4,731.0,791.7,776.8,645.8,371.0,367.3,366.2,353.9,340.3,345.9,329.2,337.5,333.9,338.1,"1,699.6","1,710.0","1,656.5","1,663.6","1,518.4","1,609.7","1,443.0","1,531.8","1,495.0","1,355.8",327.5,330.8,334.8,339.2,345.8,351.4,357.5,364.0,369.1,374.9,5.2,5.2,4.9,4.9,4.4,4.6,4.0,4.2,4.1,3.6,,,,,,,
E09000004,Bexley,470.6,476.0,449.3,447.2,391.1,417.3,376.0,405.5,392.2,377.2,531.0,526.8,509.7,513.7,462.9,498.1,432.3,468.7,455.7,379.4,266.3,257.8,254.4,241.5,235.2,228.4,219.4,219.1,213.0,215.4,"1,267.9","1,260.6","1,213.4","1,202.4","1,089.2","1,143.9","1,027.7","1,093.3","1,060.9",971.9,222.4,223.3,224.6,226.7,228.1,230.7,232.8,234.3,236.7,239.9,5.7,5.6,5.4,5.3,4.8,5.0,4.4,4.7,4.5,4.1,,,,,,,
E09000005,Brent,543.0,521.4,545.3,602.3,522.1,464.9,411.6,571.2,546.2,500.6,616.5,614.2,601.7,606.0,547.5,587.3,508.9,549.7,539.9,450.1,262.4,255.6,247.6,225.8,217.8,230.1,219.7,219.5,208.1,217.9,"1,421.8","1,391.3","1,394.6","1,434.2","1,287.3","1,282.3","1,140.2","1,340.3","1,294.2","1,168.6",270.9,276.5,283.3,290.9,298.1,304.8,312.2,314.7,317.3,320.8,5.2,5.0,4.9,4.9,4.3,4.2,3.7,4.3,4.1,3.6,,,,,,,
E09000006,Bromley,378.5,424.7,375.3,364.9,330.3,339.3,306.9,333.5,316.2,273.9,812.4,809.6,786.0,796.6,719.8,774.8,674.8,733.4,719.9,597.1,365.6,358.0,351.8,334.3,322.1,314.9,307.5,302.1,297.8,299.9,"1,556.4","1,592.3","1,513.1","1,495.9","1,372.2","1,429.0","1,289.2","1,369.1","1,333.9","1,170.9",299.4,301.0,302.6,305.0,306.9,308.6,310.6,314.0,317.9,321.3,5.2,5.3,5.0,4.9,4.5,4.6,4.2,4.4,4.2,3.6,,,,,,,
E09000007,Camden,"1,076.1","1,197.5","1,157.1","1,132.3","1,003.7","1,062.4",969.1,"1,056.6","1,008.7",823.7,429.0,427.3,418.4,424.9,389.4,416.4,365.5,393.4,384.3,319.4,173.1,172.3,170.1,161.5,158.9,152.1,146.2,140.9,137.4,142.3,"1,678.2","1,797.2","1,745.7","1,718.7","1,551.9","1,630.8","1,480.9","1,590.9","1,530.4","1,285.5",211.1,211.0,211.5,210.3,212.9,214.7,220.1,225.0,229.7,234.8,8.0,8.5,8.3,8.2,7.3,7.6,6.7,7.1,6.7,5.5,,,,,,,
E09000008,Croydon,573.2,553.8,522.6,526.0,464.2,485.0,434.4,473.8,436.1,333.8,830.2,825.7,804.9,817.2,731.6,786.3,691.2,748.6,734.0,611.2,358.0,349.7,348.6,322.7,309.9,302.4,295.7,291.8,288.7,289.4,"1,761.4","1,729.1","1,676.1","1,665.9","1,505.6","1,573.6","1,421.3","1,514.1","1,458.8","1,234.4",339.1,340.4,344.0,349.3,352.8,358.0,364.8,368.9,372.8,376.0,5.2,5.1,4.9,4.8,4.3,4.4,3.9,4.1,3.9,3.3,,,,,,,
E09000009,Ealing,614.4,660.4,681.9,685.5,612.5,629.2,599.1,668.3,655.0,528.0,685.4,680.1,664.1,672.1,605.9,651.9,565.9,611.7,600.8,498.4,368.0,360.9,342.9,329.1,317.6,314.2,311.4,301.2,311.1,305.0,"1,667.8","1,701.4","1,688.8","1,686.7","1,536.1","1,595.3","1,476.4","1,581.1","1,567.0","1,331.4",312.8,315.3,318.7,324.0,330.0,334.1,339.3,340.7,342.5,342.1,5.3,5.4,5.3,5.2,4.7,4.8,4.4,4.6,4.6,3.9,,,,,,,
E09000010,Enfield,470.8,614.2,626.6,483.2,408.9,430.3,378.2,412.2,414.1,361.5,677.3,673.4,658.1,658.8,591.4,634.8,552.0,597.1,582.1,483.3,301.5,301.2,297.5,281.5,272.6,266.2,255.5,257.0,256.1,263.3,"1,449.6","1,588.7","1,582.2","1,423.5","1,272.9","1,331.3","1,185.7","1,266.3","1,252.3","1,108.1",284.8,287.4,291.5,297.4,302.0,307.6,313.9,317.3,320.5,324.6,5.1,5.5,5.4,4.8,4.2,4.3,3.8,4.0,3.9,3.4,,,,,,,
E09000011,Greenwich,430.8,443.3,427.7,465.4,419.7,455.9,383.1,382.5,317.0,389.8,496.3,493.1,478.5,482.5,435.7,468.2,408.5,439.9,426.7,356.6,331.6,320.6,316.6,295.5,287.0,281.6,280.0,272.6,264.5,266.3,"1,258.7","1,256.9","1,222.9","1,243.4","1,142.4","1,205.7","1,071.6","1,094.9","1,008.2","1,012.7",230.5,234.0,236.5,239.7,243.7,249.2,255.5,260.1,264.0,268.7,5.5,5.4,5.2,5.2,4.7,4.8,4.2,4.2,3.8,3.8,,,,,,,
E09000012,Hackney,299.2,314.7,302.6,305.3,271.5,296.3,287.4,358.0,348.1,342.3,429.6,424.6,416.8,422.8,382.7,413.0,364.1,390.1,380.9,318.2,185.7,188.4,184.7,176.9,170.9,171.3,161.0,157.7,151.2,151.5,914.4,927.7,904.1,905.0,825.1,880.5,812.5,905.8,880.2,812.1,216.5,220.2,224.5,231.0,236.6,241.7,247.2,252.1,257.4,263.2,4.2,4.2,4.0,3.9,3.5,3.6,3.3,3.6,3.4,3.1,,,,,,,
